,Unnamed: 0,driver_age,driver_experience,previous_accidents,annual_mileage_x1000_km,car_manufacturing_year,car_age,insurance_premium
660,660,25,7,5,23,2018,7,502.25
661,661,58,5,5,25,2002,23,497.95
662,662,56,14,0,22,2018,7,486.4
663,663,18,0,1,16,2013,12,499.9
664,664,20,2,4,15,2015,10,503.15
665,665,30,12,0,16,2006,19,493.1
666,666,45,25,3,21,1996,29,491.95
667,667,42,24,2,17,2002,23,490.55
668,668,50,32,2,22,1994,31,487.6
669,669,55,28,5,15,2015,10,489.85
670,670,23,3,2,11,1992,33,501.35
671,671,61,16,4,18,1996,29,492.8
672,672,62,34,1,14,1990,35,483.1
673,673,49,12,3,19,2006,19,493.95
674,674,62,40,4,24,2014,11,483.9
675,675,64,38,3,20,1992,33,484.6
676,676,38,14,3,22,2004,21,495.9
677,677,33,15,1,16,2018,7,491.9
678,678,38,20,5,11,2021,4,494.85
679,679,28,10,2,13,2015,10,496.05
680,680,54,31,1,13,2005,20,484.05
681,681,53,1,4,20,2014,11,497.2
682,682,52,13,5,22,2017,8,495.1
683,683,36,18,4,22,1998,27,497.2
684,684,37,19,5,14,1990,35,498.6
685,685,35,10,4,16,2018,7,497.5
686,686,64,26,1,25,2011,14,483.55
687,687,58,2,5,17,2005,20,498.15
688,688,31,13,5,20,1996,29,501.3
689,689,32,14,3,14,2003,22,496.8
690,690,48,28,3,16,2018,7,488.0
691,691,18,0,0,21,2008,17,499.15
692,692,20,2,4,11,2008,17,503.65
693,693,33,15,3,24,1991,34,498.0
694,694,40,19,0,18,2004,21,489.3
695,695,28,5,3,17,1992,33,501.55
696,696,29,11,4,25,2000,25,500.65
697,697,27,4,5,21,2019,6,502.55
698,698,49,2,2,21,2007,18,495.45
699,699,33,0,4,19,1991,34,503.75
700,700,25,7,1,13,2021,4,495.45
701,701,55,14,3,12,1997,28,492.7
702,702,29,11,3,11,2011,14,497.35
703,703,41,23,5,13,1995,30,496.05
704,704,45,24,1,15,2001,24,488.45
705,705,25,7,5,24,2025,0,501.6
706,706,45,11,1,21,2004,21,492.35
707,707,53,17,2,12,2017,8,488.7
708,708,43,14,3,22,2007,18,494.6
709,709,25,7,3,13,1991,34,501.45
710,710,45,26,2,25,2002,23,489.75
711,711,45,7,0,25,2004,21,492.25
712,712,54,24,5,25,2009,16,492.35
713,713,58,16,2,14,2018,7,488.0
714,714,53,28,5,17,2018,7,490.05
715,715,44,7,4,23,1992,33,499.55
716,716,34,14,3,13,2008,17,495.85
717,717,26,8,5,25,1992,33,504.45
718,718,50,6,1,19,2003,22,492.85
719,719,37,2,5,18,1993,32,503.6
720,720,30,12,4,14,2000,25,499.6
721,721,45,23,3,23,2020,5,490.25
722,722,65,2,2,11,2021,4,490.35
723,723,46,19,4,11,2016,9,492.55
724,724,30,12,3,11,2019,6,496.05
725,725,63,24,5,11,1991,34,491.65
726,726,52,29,0,18,1998,27,484.5
727,727,23,5,0,13,2017,8,495.35
728,728,35,6,1,25,2020,5,494.45
729,729,22,4,3,16,2023,2,499.9
730,730,64,19,0,13,2004,21,484.25
731,731,42,24,2,21,2014,11,489.55
732,732,19,1,3,15,2025,0,501.15
733,733,27,9,2,23,1997,28,498.85
734,734,47,21,2,25,1998,27,491.25
735,735,62,1,0,24,2021,4,488.9
736,736,22,4,3,23,2006,19,501.95
737,737,50,7,5,25,2024,1,496.75
738,738,18,0,4,17,2008,17,504.95
739,739,35,12,0,12,2018,7,490.7
740,740,49,16,0,16,1996,29,489.1
741,741,64,7,5,23,2017,8,494.55
742,742,28,10,3,16,1998,27,499.4
743,743,38,17,3,21,2017,8,493.65
744,744,43,25,2,13,1995,30,490.55
745,745,42,17,5,16,2018,7,495.5
746,746,39,21,5,20,2006,19,496.3
747,747,44,26,3,20,2005,20,490.9
748,748,30,12,2,24,2012,13,495.9
749,749,50,10,0,15,2020,5,488.25
750,750,51,24,1,22,1992,33,488.5
751,751,58,32,4,12,2010,15,486.9
752,752,52,34,0,19,2015,10,481.35
753,753,18,0,3,18,2025,0,501.8
754,754,38,7,4,13,2011,14,498.35
755,755,65,10,1,18,2001,24,488.8
756,756,23,5,1,24,2002,23,498.9
757,757,45,23,2,19,2000,25,490.55
758,758,34,16,4,24,2005,20,497.6
759,759,22,4,2,25,1997,28,501.45
760,760,48,11,0,13,1991,34,491.15
761,761,22,4,5,13,2019,6,503.15
762,762,55,14,5,12,2019,6,493.5
763,763,20,2,5,18,2001,24,506.2
764,764,40,21,4,20,1999,26,495.3
765,765,54,27,5,11,2000,25,491.65
766,766,54,19,0,18,2004,21,486.5
767,767,27,9,2,17,2005,20,497.75
768,768,27,9,4,24,2006,19,501.0
769,769,36,18,2,17,2015,10,492.25
770,770,34,16,4,13,1991,34,498.45
771,771,38,20,2,11,2001,24,492.35
772,772,31,1,1,14,2015,10,496.7
773,773,26,8,2,19,2012,13,497.65
774,774,63,32,5,15,2007,18,487.85
775,775,18,0,1,11,2021,4,498.85
776,776,62,12,2,25,1992,33,491.55
777,777,30,12,4,15,1992,33,500.45
778,778,21,3,4,23,2019,6,502.65
779,779,18,0,4,18,1990,35,506.8
780,780,57,25,3,18,2019,6,487.1
781,781,49,21,0,15,2021,4,485.05
782,782,51,33,4,22,2017,8,487.8
783,783,45,1,1,19,2010,15,494.65
784,784,48,30,4,25,2002,23,490.95
785,785,25,7,3,11,2016,9,498.85
786,786,56,25,5,14,2025,0,489.5
787,787,43,14,1,13,1996,29,492.25
788,788,51,33,3,12,2011,14,486.4
789,789,20,2,5,25,1999,26,506.75
790,790,29,10,1,18,2004,21,495.7
791,791,18,0,2,17,2004,21,502.35
792,792,61,5,0,19,1993,32,490.45
793,793,22,4,0,12,2021,4,495.4
794,794,47,5,3,24,2012,13,496.1
795,795,47,8,5,24,1995,30,499.9
796,796,34,16,0,14,2013,12,490.3
797,797,65,30,5,24,2009,16,488.3
798,798,64,31,5,25,2009,16,488.25
799,799,40,22,3,16,2001,24,493.1
800,800,32,11,3,21,2022,3,496.15
801,801,54,7,3,13,2017,8,493.05
802,802,38,7,0,18,1997,28,494.0
803,803,31,13,3,13,1990,35,498.55
804,804,19,1,0,24,2011,14,498.5
805,805,28,6,3,22,1995,30,501.2
806,806,56,10,4,23,2010,15,494.45
807,807,55,19,5,23,2021,4,492.35
808,808,51,15,3,12,2024,1,490.5
809,809,55,3,1,23,2004,21,492.85
810,810,51,5,5,23,1994,31,500.05
811,811,35,17,5,13,1995,30,499.05
812,812,47,25,3,21,2014,11,489.75
813,813,32,2,2,16,2018,7,497.5
814,814,44,26,3,12,1996,29,491.4
815,815,51,13,5,18,2002,23,496.6
816,816,55,10,1,11,2007,18,489.85
817,817,50,17,5,17,1991,34,496.65
818,818,41,11,1,12,1997,28,493.4
819,819,32,14,0,20,2000,25,492.9
820,820,47,11,4,22,2022,3,494.7
821,821,59,12,5,16,2016,9,493.8
822,822,34,16,3,22,2009,16,495.6
823,823,22,4,0,12,2001,24,497.4
824,824,46,28,4,12,2020,5,489.5
825,825,21,3,3,20,2016,9,501.3
826,826,27,9,2,23,2021,4,496.45
827,827,34,16,3,18,1999,26,496.4
828,828,27,9,1,25,1992,33,497.95
829,829,34,5,1,25,2016,9,495.35
830,830,37,17,2,22,2024,1,491.7
831,831,41,18,0,12,2020,5,487.5
832,832,22,4,4,17,2004,21,503.35
833,833,51,33,3,13,2005,20,487.05
834,834,23,5,1,18,2002,23,498.6
835,835,19,1,0,17,2024,1,496.85
836,836,30,2,2,24,2000,25,500.1
837,837,60,27,5,18,2010,15,489.8
838,838,60,9,1,24,2000,25,490.5
839,839,65,34,2,17,2019,6,481.25
840,840,28,10,3,21,2024,1,497.05
841,841,64,14,4,16,2011,14,491.2
842,842,40,22,1,23,2020,5,488.55
843,843,33,6,1,17,2003,22,496.15
844,844,48,11,3,15,2013,12,493.55
845,845,28,10,5,17,2021,4,500.15
846,846,33,15,0,11,2025,0,489.45
847,847,25,7,4,11,2021,4,499.85
848,848,21,3,1,19,2004,21,499.45
849,849,57,19,4,24,2024,1,490.2
850,850,21,3,1,15,1992,33,500.45
851,851,42,3,4,23,2005,20,499.85
852,852,20,2,2,15,1994,31,502.25
853,853,49,19,1,13,2010,15,488.15
854,854,20,2,4,15,1999,26,504.75
855,855,44,26,0,13,2008,17,485.75
856,856,46,28,2,19,2014,11,487.45
857,857,49,31,2,19,1993,32,488.05
858,858,36,18,0,16,2018,7,488.9
859,859,38,20,4,25,2008,17,495.35
860,860,22,1,3,11,1991,34,503.75
861,861,35,14,0,17,1999,26,492.25
862,862,45,27,4,17,2014,11,490.85
863,863,59,35,0,24,2009,16,480.5
864,864,39,5,0,20,2008,17,493.4
865,865,38,20,1,20,2012,13,490.2
866,866,23,5,4,14,2013,12,501.8
867,867,18,0,3,18,2000,25,504.3
868,868,22,4,1,16,2023,2,496.9
869,869,58,39,0,14,2017,8,478.2
870,870,29,11,5,14,1994,31,502.2
871,871,43,14,0,12,1994,31,490.9
872,872,63,32,0,24,2010,15,480.5
873,873,51,33,4,12,2001,24,488.9
874,874,31,13,4,22,1993,32,500.2
875,875,43,7,1,24,2009,16,493.6
876,876,62,35,3,14,2014,11,483.4
877,877,44,26,1,15,2003,22,487.85
878,878,26,8,2,18,2000,25,498.8
879,879,43,13,0,25,2021,4,489.15
880,880,64,13,5,16,2000,25,494.1
881,881,39,1,0,24,2007,18,494.9
882,882,64,36,0,25,2016,9,478.55
883,883,47,4,1,14,2007,18,493.4
884,884,60,37,5,23,2012,13,486.85
885,885,65,40,5,21,2000,25,486.05
886,886,34,13,5,17,2010,15,499.15
887,887,43,25,1,18,1994,31,489.4
888,888,53,24,0,12,2012,13,484.1
889,889,18,0,1,22,2014,11,500.1
890,890,25,1,4,17,1999,26,504.15
891,891,52,34,4,25,2011,14,488.05
892,892,32,5,1,24,2008,17,496.5
893,893,64,16,5,12,1990,35,494.0
894,894,39,21,0,12,1996,29,489.4
895,895,31,13,1,18,1993,32,495.5
896,896,43,1,1,12,1990,35,496.7
897,897,45,27,1,25,2004,21,487.75
898,898,40,22,2,21,2001,24,491.85
899,899,31,4,4,19,2011,14,500.95
900,900,41,0,5,22,2011,14,501.8
901,901,19,1,3,11,2006,19,502.85
902,902,62,11,5,25,2018,7,493.75
903,903,43,25,3,19,2003,22,491.55
904,904,31,13,2,25,2009,16,495.75
905,905,24,6,1,11,2022,3,495.75
906,906,20,2,2,20,2004,21,501.5
907,907,64,9,2,23,2001,24,491.05
908,908,40,2,0,20,2009,16,494.0
909,909,63,13,4,12,2019,6,490.7
910,910,60,15,3,16,1992,33,492.1
911,911,64,9,1,16,2017,8,487.6
912,912,62,28,3,11,2015,10,485.25
913,913,35,9,5,17,2019,6,499.25
914,914,55,11,3,18,2002,23,493.4
915,915,52,29,5,12,2002,23,491.3
916,916,32,14,4,18,1991,34,499.7
917,917,42,0,5,19,1991,34,503.45
918,918,54,4,3,16,2025,0,493.3
919,919,45,19,3,15,2015,10,491.55
920,920,27,7,5,22,2000,25,503.6
921,921,56,11,2,19,1997,28,492.25
922,922,34,0,4,23,2011,14,501.75
923,923,56,19,0,22,2009,16,485.8
924,924,39,21,1,21,1997,28,491.25
925,925,43,25,3,19,2018,7,490.05
926,926,61,36,1,11,2015,10,480.05
927,927,42,11,0,21,2019,6,489.95
928,928,34,16,1,13,2006,19,492.45
929,929,30,12,0,19,2009,16,492.95
930,930,37,14,5,21,2005,20,498.95
931,931,42,5,2,12,1996,29,496.6
932,932,21,3,3,22,2005,20,502.5
933,933,27,9,0,14,2016,9,493.5
934,934,20,1,1,14,2012,13,499.2
935,935,58,8,3,12,2013,12,492.3
936,936,62,36,2,25,1998,27,483.75
937,937,35,17,5,13,2024,1,496.15
938,938,64,25,3,23,2009,16,486.95
939,939,53,28,0,13,2006,19,483.55
940,940,64,0,2,11,2020,5,491.25
941,941,39,21,1,16,1997,28,491.0
942,942,51,5,2,18,2004,21,494.3
943,943,64,36,2,22,2020,5,481.0
944,944,25,4,4,13,2019,6,501.05
945,945,57,32,2,15,2009,16,484.35
946,946,61,13,2,11,2001,24,489.85
947,947,36,11,3,20,2006,19,496.9
948,948,59,19,1,17,2019,6,485.45
949,949,58,23,3,20,2018,7,487.7
950,950,54,33,3,23,2008,17,486.65
951,951,23,5,0,11,2000,25,496.95
952,952,43,25,3,22,2023,2,489.7
953,953,51,33,4,21,1996,29,489.85
954,954,62,30,4,19,2023,2,485.75
955,955,23,5,0,18,2009,16,496.4
956,956,54,36,5,17,2013,12,487.95
957,957,50,19,1,20,1999,26,489.4
958,958,39,21,1,25,2021,4,489.05
959,959,38,15,3,17,2004,21,495.35
960,960,23,5,3,15,2009,16,500.75
961,961,23,5,5,15,1992,33,505.45
962,962,65,0,3,21,1997,28,495.35
963,963,21,3,1,23,2012,13,498.85
964,964,47,28,2,15,2000,25,488.45
965,965,28,10,4,11,1997,28,500.75
966,966,47,29,2,18,2018,7,486.5
967,967,48,4,2,22,2019,6,493.9
968,968,41,21,1,21,1999,26,490.65
969,969,26,8,2,11,2017,8,496.75
970,970,20,0,5,14,2025,0,504.2
971,971,48,25,0,25,2002,23,486.45
972,972,57,9,3,19,2021,4,491.75
973,973,54,29,0,24,2025,0,481.7
974,974,53,17,4,19,2015,10,492.25
975,975,41,16,3,15,2011,14,493.65
976,976,48,25,2,14,1993,32,489.8
977,977,23,5,4,13,2020,5,501.05
978,978,19,1,3,13,2007,18,502.85
979,979,37,11,5,22,2013,12,499.1
980,980,45,26,5,15,2012,13,492.75
981,981,28,7,5,20,2011,14,502.2
982,982,21,3,5,11,1991,34,506.35
983,983,32,3,2,15,2020,5,496.95
984,984,23,5,0,16,2000,25,497.2
985,985,47,0,3,17,2017,8,496.75
986,986,55,18,2,22,2021,4,488.1
987,987,19,1,5,19,1994,31,507.45
988,988,32,14,0,13,1999,26,492.65
989,989,28,10,4,25,2013,12,499.85
990,990,25,4,4,12,2024,1,500.5
991,991,43,25,4,24,2012,13,492.4
992,992,62,25,5,13,2006,19,490.15
993,993,61,27,4,22,1990,35,490.3
994,994,22,1,1,19,2020,5,498.25
995,995,23,5,3,22,2020,5,500.0
996,996,43,8,3,17,2023,2,494.55
997,997,21,3,5,19,1998,27,506.05
998,998,36,18,1,23,2011,14,491.45
999,999,37,19,2,12,2002,23,492.8
