,driver age,driver experience,previous accidents,annual mileage (x1000 km),car manufacturing year,car age,insurance premium ($)
731,42,24,2,21,2014,11,489.55
732,19,1,3,15,2025,0,501.15
733,27,9,2,23,1997,28,498.85
734,47,21,2,25,1998,27,491.25
735,62,1,0,24,2021,4,488.9
736,22,4,3,23,2006,19,501.95
737,50,7,5,25,2024,1,496.75
738,18,0,4,17,2008,17,504.95
739,35,12,0,12,2018,7,490.7
740,49,16,0,16,1996,29,489.1
741,64,7,5,23,2017,8,494.55
742,28,10,3,16,1998,27,499.4
743,38,17,3,21,2017,8,493.65
744,43,25,2,13,1995,30,490.55
745,42,17,5,16,2018,7,495.5
746,39,21,5,20,2006,19,496.3
747,44,26,3,20,2005,20,490.9
748,30,12,2,24,2012,13,495.9
749,50,10,0,15,2020,5,488.25
750,51,24,1,22,1992,33,488.5
751,58,32,4,12,2010,15,486.9
752,52,34,0,19,2015,10,481.35
753,18,0,3,18,2025,0,501.8
754,38,7,4,13,2011,14,498.35
755,65,10,1,18,2001,24,488.8
756,23,5,1,24,2002,23,498.9
757,45,23,2,19,2000,25,490.55
758,34,16,4,24,2005,20,497.6
759,22,4,2,25,1997,28,501.45
760,48,11,0,13,1991,34,491.15
761,22,4,5,13,2019,6,503.15
762,55,14,5,12,2019,6,493.5
763,20,2,5,18,2001,24,506.2
764,40,21,4,20,1999,26,495.3
765,54,27,5,11,2000,25,491.65
766,54,19,0,18,2004,21,486.5
767,27,9,2,17,2005,20,497.75
768,27,9,4,24,2006,19,501.0
769,36,18,2,17,2015,10,492.25
770,34,16,4,13,1991,34,498.45
771,38,20,2,11,2001,24,492.35
772,31,1,1,14,2015,10,496.7
773,26,8,2,19,2012,13,497.65
774,63,32,5,15,2007,18,487.85
775,18,0,1,11,2021,4,498.85
776,62,12,2,25,1992,33,491.55
777,30,12,4,15,1992,33,500.45
778,21,3,4,23,2019,6,502.65
779,18,0,4,18,1990,35,506.8
780,57,25,3,18,2019,6,487.1
781,49,21,0,15,2021,4,485.05
782,51,33,4,22,2017,8,487.8
783,45,1,1,19,2010,15,494.65
784,48,30,4,25,2002,23,490.95
785,25,7,3,11,2016,9,498.85
786,56,25,5,14,2025,0,489.5
787,43,14,1,13,1996,29,492.25
788,51,33,3,12,2011,14,486.4
789,20,2,5,25,1999,26,506.75
790,29,10,1,18,2004,21,495.7
791,18,0,2,17,2004,21,502.35
792,61,5,0,19,1993,32,490.45
793,22,4,0,12,2021,4,495.4
794,47,5,3,24,2012,13,496.1
795,47,8,5,24,1995,30,499.9
796,34,16,0,14,2013,12,490.3
797,65,30,5,24,2009,16,488.3
798,64,31,5,25,2009,16,488.25
799,40,22,3,16,2001,24,493.1
800,32,11,3,21,2022,3,496.15
801,54,7,3,13,2017,8,493.05
802,38,7,0,18,1997,28,494.0
803,31,13,3,13,1990,35,498.55
804,19,1,0,24,2011,14,498.5
805,28,6,3,22,1995,30,501.2
806,56,10,4,23,2010,15,494.45
807,55,19,5,23,2021,4,492.35
808,51,15,3,12,2024,1,490.5
809,55,3,1,23,2004,21,492.85
810,51,5,5,23,1994,31,500.05
811,35,17,5,13,1995,30,499.05
812,47,25,3,21,2014,11,489.75
813,32,2,2,16,2018,7,497.5
814,44,26,3,12,1996,29,491.4
815,51,13,5,18,2002,23,496.6
816,55,10,1,11,2007,18,489.85
817,50,17,5,17,1991,34,496.65
818,41,11,1,12,1997,28,493.4
819,32,14,0,20,2000,25,492.9
820,47,11,4,22,2022,3,494.7
821,59,12,5,16,2016,9,493.8
822,34,16,3,22,2009,16,495.6
823,22,4,0,12,2001,24,497.4
824,46,28,4,12,2020,5,489.5
825,21,3,3,20,2016,9,501.3
826,27,9,2,23,2021,4,496.45
827,34,16,3,18,1999,26,496.4
828,27,9,1,25,1992,33,497.95
829,34,5,1,25,2016,9,495.35
830,37,17,2,22,2024,1,491.7
831,41,18,0,12,2020,5,487.5
832,22,4,4,17,2004,21,503.35
833,51,33,3,13,2005,20,487.05
834,23,5,1,18,2002,23,498.6
835,19,1,0,17,2024,1,496.85
836,30,2,2,24,2000,25,500.1
837,60,27,5,18,2010,15,489.8
838,60,9,1,24,2000,25,490.5
839,65,34,2,17,2019,6,481.25
840,28,10,3,21,2024,1,497.05
841,64,14,4,16,2011,14,491.2
842,40,22,1,23,2020,5,488.55
843,33,6,1,17,2003,22,496.15
844,48,11,3,15,2013,12,493.55
845,28,10,5,17,2021,4,500.15
846,33,15,0,11,2025,0,489.45
847,25,7,4,11,2021,4,499.85
848,21,3,1,19,2004,21,499.45
849,57,19,4,24,2024,1,490.2
850,21,3,1,15,1992,33,500.45
851,42,3,4,23,2005,20,499.85
852,20,2,2,15,1994,31,502.25
853,49,19,1,13,2010,15,488.15
854,20,2,4,15,1999,26,504.75
855,44,26,0,13,2008,17,485.75
856,46,28,2,19,2014,11,487.45
857,49,31,2,19,1993,32,488.05
858,36,18,0,16,2018,7,488.9
859,38,20,4,25,2008,17,495.35
860,22,1,3,11,1991,34,503.75
861,35,14,0,17,1999,26,492.25
862,45,27,4,17,2014,11,490.85
863,59,35,0,24,2009,16,480.5
864,39,5,0,20,2008,17,493.4
865,38,20,1,20,2012,13,490.2
866,23,5,4,14,2013,12,501.8
867,18,0,3,18,2000,25,504.3
868,22,4,1,16,2023,2,496.9
869,58,39,0,14,2017,8,478.2
870,29,11,5,14,1994,31,502.2
871,43,14,0,12,1994,31,490.9
872,63,32,0,24,2010,15,480.5
873,51,33,4,12,2001,24,488.9
874,31,13,4,22,1993,32,500.2
875,43,7,1,24,2009,16,493.6
876,62,35,3,14,2014,11,483.4
877,44,26,1,15,2003,22,487.85
878,26,8,2,18,2000,25,498.8
879,43,13,0,25,2021,4,489.15
880,64,13,5,16,2000,25,494.1
881,39,1,0,24,2007,18,494.9
882,64,36,0,25,2016,9,478.55
883,47,4,1,14,2007,18,493.4
884,60,37,5,23,2012,13,486.85
885,65,40,5,21,2000,25,486.05
886,34,13,5,17,2010,15,499.15
887,43,25,1,18,1994,31,489.4
888,53,24,0,12,2012,13,484.1
889,18,0,1,22,2014,11,500.1
890,25,1,4,17,1999,26,504.15
891,52,34,4,25,2011,14,488.05
892,32,5,1,24,2008,17,496.5
893,64,16,5,12,1990,35,494.0
894,39,21,0,12,1996,29,489.4
895,31,13,1,18,1993,32,495.5
896,43,1,1,12,1990,35,496.7
897,45,27,1,25,2004,21,487.75
898,40,22,2,21,2001,24,491.85
899,31,4,4,19,2011,14,500.95
900,41,0,5,22,2011,14,501.8
901,19,1,3,11,2006,19,502.85
902,62,11,5,25,2018,7,493.75
903,43,25,3,19,2003,22,491.55
904,31,13,2,25,2009,16,495.75
905,24,6,1,11,2022,3,495.75
906,20,2,2,20,2004,21,501.5
907,64,9,2,23,2001,24,491.05
908,40,2,0,20,2009,16,494.0
909,63,13,4,12,2019,6,490.7
910,60,15,3,16,1992,33,492.1
911,64,9,1,16,2017,8,487.6
912,62,28,3,11,2015,10,485.25
913,35,9,5,17,2019,6,499.25
914,55,11,3,18,2002,23,493.4
915,52,29,5,12,2002,23,491.3
916,32,14,4,18,1991,34,499.7
917,42,0,5,19,1991,34,503.45
918,54,4,3,16,2025,0,493.3
919,45,19,3,15,2015,10,491.55
920,27,7,5,22,2000,25,503.6
921,56,11,2,19,1997,28,492.25
922,34,0,4,23,2011,14,501.75
923,56,19,0,22,2009,16,485.8
924,39,21,1,21,1997,28,491.25
925,43,25,3,19,2018,7,490.05
926,61,36,1,11,2015,10,480.05
927,42,11,0,21,2019,6,489.95
928,34,16,1,13,2006,19,492.45
929,30,12,0,19,2009,16,492.95
930,37,14,5,21,2005,20,498.95
931,42,5,2,12,1996,29,496.6
932,21,3,3,22,2005,20,502.5
933,27,9,0,14,2016,9,493.5
934,20,1,1,14,2012,13,499.2
935,58,8,3,12,2013,12,492.3
936,62,36,2,25,1998,27,483.75
937,35,17,5,13,2024,1,496.15
938,64,25,3,23,2009,16,486.95
939,53,28,0,13,2006,19,483.55
940,64,0,2,11,2020,5,491.25
941,39,21,1,16,1997,28,491.0
942,51,5,2,18,2004,21,494.3
943,64,36,2,22,2020,5,481.0
944,25,4,4,13,2019,6,501.05
945,57,32,2,15,2009,16,484.35
946,61,13,2,11,2001,24,489.85
947,36,11,3,20,2006,19,496.9
948,59,19,1,17,2019,6,485.45
949,58,23,3,20,2018,7,487.7
950,54,33,3,23,2008,17,486.65
951,23,5,0,11,2000,25,496.95
952,43,25,3,22,2023,2,489.7
953,51,33,4,21,1996,29,489.85
954,62,30,4,19,2023,2,485.75
955,23,5,0,18,2009,16,496.4
956,54,36,5,17,2013,12,487.95
957,50,19,1,20,1999,26,489.4
958,39,21,1,25,2021,4,489.05
959,38,15,3,17,2004,21,495.35
960,23,5,3,15,2009,16,500.75
961,23,5,5,15,1992,33,505.45
962,65,0,3,21,1997,28,495.35
963,21,3,1,23,2012,13,498.85
964,47,28,2,15,2000,25,488.45
965,28,10,4,11,1997,28,500.75
966,47,29,2,18,2018,7,486.5
967,48,4,2,22,2019,6,493.9
968,41,21,1,21,1999,26,490.65
969,26,8,2,11,2017,8,496.75
970,20,0,5,14,2025,0,504.2
971,48,25,0,25,2002,23,486.45
972,57,9,3,19,2021,4,491.75
973,54,29,0,24,2025,0,481.7
974,53,17,4,19,2015,10,492.25
975,41,16,3,15,2011,14,493.65
976,48,25,2,14,1993,32,489.8
977,23,5,4,13,2020,5,501.05
978,19,1,3,13,2007,18,502.85
979,37,11,5,22,2013,12,499.1
980,45,26,5,15,2012,13,492.75
981,28,7,5,20,2011,14,502.2
982,21,3,5,11,1991,34,506.35
983,32,3,2,15,2020,5,496.95
984,23,5,0,16,2000,25,497.2
985,47,0,3,17,2017,8,496.75
986,55,18,2,22,2021,4,488.1
987,19,1,5,19,1994,31,507.45
988,32,14,0,13,1999,26,492.65
989,28,10,4,25,2013,12,499.85
990,25,4,4,12,2024,1,500.5
991,43,25,4,24,2012,13,492.4
992,62,25,5,13,2006,19,490.15
993,61,27,4,22,1990,35,490.3
994,22,1,1,19,2020,5,498.25
995,23,5,3,22,2020,5,500.0
996,43,8,3,17,2023,2,494.55
997,21,3,5,19,1998,27,506.05
998,36,18,1,23,2011,14,491.45
999,37,19,2,12,2002,23,492.8
